sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,related_skus,related_position,crosssell_skus,crosssell_position,upsell_skus,upsell_position,additional_images,additional_image_labels,hide_from_product_page,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,bundle_shipment_type,associated_skus
NS13A2IN079P,,Default,simple,"Default/Bestselling Products,Default/Lifestyle Laptops,Default/Top 10 Offers,Default/Latest Arrival,Default/AVITA",base,"AVITA LIBER 13.3"" i7-8550U 8GB 256GB SSD Champagne Gold","AVITA LIBER 13.3""<br/><table><tr><th>Weight</th><td>1.35</td></tr><tr><th>Length</th><td>31.5</td><th>Width</th><td>21.2</td></tr><tr><th>Height</th><td>15</td><th>Primary Battery</th><td>36 WHr, 2-Cell Battery</td></tr><tr><th>Display</th><td>13.3"" FHD IPS Display (1920x1080)</td><th>Wireless</th><td>IEEE 802.11 b/g/n/ac, Bluetooth 4.0</td></tr><tr><th>Memory</th><td>4GB/8GB DDR3</td><th>Keyboard</th><td>Island-type Keyboard (with Backlit - optional)</td></tr><tr><th>Video Card</th><td>Intel HD Graphics</td><th>Hard Drive</th><td>Wireless driver for 802.11ac + Bluetooth 4.0</td></tr><tr><th>Optical Drive</th><td>128GB SSD / 256GB SSD / 512GB SSD</td><th>Power Cord</th><td>No Optical Drive</td></tr><tr><th>Documentation</th><td>Included</td><th>Hard Drive Software</th><td>Quick Start Guide</td></tr><tr><th>Color Choice</th><td>SSD</td><th>Packaging</th><td>Black / Silver/ Space Grey / Other Colours</td></tr><tr><th>Processor Label</th><td>Shipping Material</td><th>Power Supply</th><td>Intel Processor</td></tr><tr><th>Carrying Cases</th><td>Laptop Bag</td><th>Warranty</th><td>18 + 6 Months</td></tr></table>","AVITA LIBER 13.3""",1.3500,1,"Taxable Goods","Catalog, Search",61090.0000,45990.0000,,,"AVITA LIBER 13.3"" i7-8550U 8GB 256GB SSD NS13A2IN079P",,,,,,,,,,,,"5/13/19, 7:32 PM","5/13/19, 9:01 PM",,,"Block after Info Column",,,,,,,,,,,"Use config",,"featured=""Yes""",10.0000,0.0000,1,0,0,1,1.0000,0,0.0000,1,1,,1,0,1,1,0.0000,1,0,0,0,,,,,,,,,,,,,,,,
NS13A2IN093P,,Default,simple,"Default/Bestselling Products,Default/Lifestyle Laptops,Default/Top 10 Offers,Default/Latest Arrival,Default/AVITA",base,"AVITA LIBER 13.3"" i7-8550U 8GB 256GB SSD Flowers on Yellow","AVITA LIBER 13.3""<br/><table><tr><th>Weight</th><td>1.35</td></tr><tr><th>Length</th><td>31.5</td><th>Width</th><td>21.2</td></tr><tr><th>Height</th><td>15</td><th>Primary Battery</th><td>36 WHr, 2-Cell Battery</td></tr><tr><th>Display</th><td>13.3"" FHD IPS Display (1920x1080)</td><th>Wireless</th><td>IEEE 802.11 b/g/n/ac, Bluetooth 4.0</td></tr><tr><th>Memory</th><td>4GB/8GB DDR3</td><th>Keyboard</th><td>Island-type Keyboard (with Backlit - optional)</td></tr><tr><th>Video Card</th><td>Intel HD Graphics</td><th>Hard Drive</th><td>Wireless driver for 802.11ac + Bluetooth 4.0</td></tr><tr><th>Optical Drive</th><td>128GB SSD / 256GB SSD / 512GB SSD</td><th>Power Cord</th><td>No Optical Drive</td></tr><tr><th>Documentation</th><td>Included</td><th>Hard Drive Software</th><td>Quick Start Guide</td></tr><tr><th>Color Choice</th><td>SSD</td><th>Packaging</th><td>Black / Silver/ Space Grey / Other Colours</td></tr><tr><th>Processor Label</th><td>Shipping Material</td><th>Power Supply</th><td>Intel Processor</td></tr><tr><th>Carrying Cases</th><td>Laptop Bag</td><th>Warranty</th><td>18 + 6 Months</td></tr></table>","AVITA LIBER 13.3""",1.3500,1,"Taxable Goods","Catalog, Search",83990.0000,52990.0000,,,"AVITA LIBER 13.3"" i7-8550U 8GB 256GB SSD NS13A2IN093P",,,,,,,,,,,,"5/13/19, 7:32 PM","5/13/19, 9:01 PM",,,"Block after Info Column",,,,,,,,,,,"Use config",,"featured=""Yes""",10.0000,0.0000,1,0,0,1,1.0000,0,0.0000,1,1,,1,0,1,1,0.0000,1,0,0,0,,,,,,,,,,,,,,,,
NS13A2IN094P,,Default,simple,"Default/Bestselling Products,Default/Lifestyle Laptops,Default/Top 10 Offers,Default/Latest Arrival,Default/AVITA",base,"AVITA LIBER 13.3"" i7-8550U 8GB 256GB SSD Iris on Ruby","AVITA LIBER 13.3""<br/><table><tr><th>Weight</th><td>1.35</td></tr><tr><th>Length</th><td>31.5</td><th>Width</th><td>21.2</td></tr><tr><th>Height</th><td>15</td><th>Primary Battery</th><td>36 WHr, 2-Cell Battery</td></tr><tr><th>Display</th><td>13.3"" FHD IPS Display (1920x1080)</td><th>Wireless</th><td>IEEE 802.11 b/g/n/ac, Bluetooth 4.0</td></tr><tr><th>Memory</th><td>4GB/8GB DDR3</td><th>Keyboard</th><td>Island-type Keyboard (with Backlit - optional)</td></tr><tr><th>Video Card</th><td>Intel HD Graphics</td><th>Hard Drive</th><td>Wireless driver for 802.11ac + Bluetooth 4.0</td></tr><tr><th>Optical Drive</th><td>128GB SSD / 256GB SSD / 512GB SSD</td><th>Power Cord</th><td>No Optical Drive</td></tr><tr><th>Documentation</th><td>Included</td><th>Hard Drive Software</th><td>Quick Start Guide</td></tr><tr><th>Color Choice</th><td>SSD</td><th>Packaging</th><td>Black / Silver/ Space Grey / Other Colours</td></tr><tr><th>Processor Label</th><td>Shipping Material</td><th>Power Supply</th><td>Intel Processor</td></tr><tr><th>Carrying Cases</th><td>Laptop Bag</td><th>Warranty</th><td>18 + 6 Months</td></tr></table>","AVITA LIBER 13.3""",1.3500,1,"Taxable Goods","Catalog, Search",83990.0000,52990.0000,,,"AVITA LIBER 13.3"" i7-8550U 8GB 256GB SSD NS13A2IN094P",,,,,,,,,,,,"5/13/19, 7:32 PM","5/13/19, 9:01 PM",,,"Block after Info Column",,,,,,,,,,,"Use config",,"featured=""Yes""",10.0000,0.0000,1,0,0,1,1.0000,0,0.0000,1,1,,1,0,1,1,0.0000,1,0,0,0,,,,,,,,,,,,,,,,
NS13A2IN095P,,Default,simple,"Default/Bestselling Products,Default/Lifestyle Laptops,Default/Top 10 Offers,Default/Latest Arrival,Default/AVITA",base,"AVITA LIBER 13.3"" i7-8550U 8GB 256GB SSD Ornament on Gold","AVITA LIBER 13.3""<br/><table><tr><th>Weight</th><td>1.35</td></tr><tr><th>Length</th><td>31.5</td><th>Width</th><td>21.2</td></tr><tr><th>Height</th><td>15</td><th>Primary Battery</th><td>36 WHr, 2-Cell Battery</td></tr><tr><th>Display</th><td>13.3"" FHD IPS Display (1920x1080)</td><th>Wireless</th><td>IEEE 802.11 b/g/n/ac, Bluetooth 4.0</td></tr><tr><th>Memory</th><td>4GB/8GB DDR3</td><th>Keyboard</th><td>Island-type Keyboard (with Backlit - optional)</td></tr><tr><th>Video Card</th><td>Intel HD Graphics</td><th>Hard Drive</th><td>Wireless driver for 802.11ac + Bluetooth 4.0</td></tr><tr><th>Optical Drive</th><td>128GB SSD / 256GB SSD / 512GB SSD</td><th>Power Cord</th><td>No Optical Drive</td></tr><tr><th>Documentation</th><td>Included</td><th>Hard Drive Software</th><td>Quick Start Guide</td></tr><tr><th>Color Choice</th><td>SSD</td><th>Packaging</th><td>Black / Silver/ Space Grey / Other Colours</td></tr><tr><th>Processor Label</th><td>Shipping Material</td><th>Power Supply</th><td>Intel Processor</td></tr><tr><th>Carrying Cases</th><td>Laptop Bag</td><th>Warranty</th><td>18 + 6 Months</td></tr></table>","AVITA LIBER 13.3""",1.3500,1,"Taxable Goods","Catalog, Search",83990.0000,52990.0000,,,"AVITA LIBER 13.3"" i7-8550U 8GB 256GB SSD NS13A2IN095P",,,,,,,,,,,,"5/13/19, 7:32 PM","5/13/19, 9:01 PM",,,"Block after Info Column",,,,,,,,,,,"Use config",,"featured=""Yes""",10.0000,0.0000,1,0,0,1,1.0000,0,0.0000,1,1,,1,0,1,1,0.0000,1,0,0,0,,,,,,,,,,,,,,,,
NS13A2IN098P,,Default,simple,"Default/Bestselling Products,Default/Lifestyle Laptops,Default/Top 10 Offers,Default/Latest Arrival,Default/AVITA",base,"AVITA LIBER 13.3"" i7-8550U 8GB 512GB SSD Champagne Gold","AVITA LIBER 13.3""<br/><table><tr><th>Weight</th><td>1.35</td></tr><tr><th>Length</th><td>31.5</td><th>Width</th><td>21.2</td></tr><tr><th>Height</th><td>15</td><th>Primary Battery</th><td>36 WHr, 2-Cell Battery</td></tr><tr><th>Display</th><td>13.3"" FHD IPS Display (1920x1080)</td><th>Wireless</th><td>IEEE 802.11 b/g/n/ac, Bluetooth 4.0</td></tr><tr><th>Memory</th><td>4GB/8GB DDR3</td><th>Keyboard</th><td>Island-type Keyboard (with Backlit - optional)</td></tr><tr><th>Video Card</th><td>Intel HD Graphics</td><th>Hard Drive</th><td>Wireless driver for 802.11ac + Bluetooth 4.0</td></tr><tr><th>Optical Drive</th><td>128GB SSD / 256GB SSD / 512GB SSD</td><th>Power Cord</th><td>No Optical Drive</td></tr><tr><th>Documentation</th><td>Included</td><th>Hard Drive Software</th><td>Quick Start Guide</td></tr><tr><th>Color Choice</th><td>SSD</td><th>Packaging</th><td>Black / Silver/ Space Grey / Other Colours</td></tr><tr><th>Processor Label</th><td>Shipping Material</td><th>Power Supply</th><td>Intel Processor</td></tr><tr><th>Carrying Cases</th><td>Laptop Bag</td><th>Warranty</th><td>18 + 6 Months</td></tr></table>","AVITA LIBER 13.3""",1.3500,1,"Taxable Goods","Catalog, Search",83990.0000,52990.0000,,,"AVITA LIBER 13.3"" i7-8550U 8GB 512GB SSD NS13A2IN098P",,,,,,,,,,,,"5/13/19, 7:32 PM","5/13/19, 9:01 PM",,,"Block after Info Column",,,,,,,,,,,"Use config",,"featured=""Yes""",10.0000,0.0000,1,0,0,1,1.0000,0,0.0000,1,1,,1,0,1,1,0.0000,1,0,0,0,,,,,,,,,,,,,,,,
NS13A2IN099P,,Default,simple,"Default/Bestselling Products,Default/Lifestyle Laptops,Default/Top 10 Offers,Default/Latest Arrival,Default/AVITA",base,"AVITA LIBER 13.3"" i7-8550U 8GB 512GB SSD Space Grey","AVITA LIBER 13.3""<br/><table><tr><th>Weight</th><td>1.35</td></tr><tr><th>Length</th><td>31.5</td><th>Width</th><td>21.2</td></tr><tr><th>Height</th><td>15</td><th>Primary Battery</th><td>36 WHr, 2-Cell Battery</td></tr><tr><th>Display</th><td>13.3"" FHD IPS Display (1920x1080)</td><th>Wireless</th><td>IEEE 802.11 b/g/n/ac, Bluetooth 4.0</td></tr><tr><th>Memory</th><td>4GB/8GB DDR3</td><th>Keyboard</th><td>Island-type Keyboard (with Backlit - optional)</td></tr><tr><th>Video Card</th><td>Intel HD Graphics</td><th>Hard Drive</th><td>Wireless driver for 802.11ac + Bluetooth 4.0</td></tr><tr><th>Optical Drive</th><td>128GB SSD / 256GB SSD / 512GB SSD</td><th>Power Cord</th><td>No Optical Drive</td></tr><tr><th>Documentation</th><td>Included</td><th>Hard Drive Software</th><td>Quick Start Guide</td></tr><tr><th>Color Choice</th><td>SSD</td><th>Packaging</th><td>Black / Silver/ Space Grey / Other Colours</td></tr><tr><th>Processor Label</th><td>Shipping Material</td><th>Power Supply</th><td>Intel Processor</td></tr><tr><th>Carrying Cases</th><td>Laptop Bag</td><th>Warranty</th><td>18 + 6 Months</td></tr></table>","AVITA LIBER 13.3""",1.3500,1,"Taxable Goods","Catalog, Search",83990.0000,52990.0000,,,"AVITA LIBER 13.3"" i7-8550U 8GB 512GB SSD NS13A2IN099P",,,,,,,,,,,,"5/13/19, 7:32 PM","5/13/19, 9:01 PM",,,"Block after Info Column",,,,,,,,,,,"Use config",,"featured=""Yes""",10.0000,0.0000,1,0,0,1,1.0000,0,0.0000,1,1,,1,0,1,1,0.0000,1,0,0,0,,,,,,,,,,,,,,,,
NS13A2IN100P,,Default,simple,"Default/Bestselling Products,Default/Lifestyle Laptops,Default/Top 10 Offers,Default/Latest Arrival,Default/AVITA",base,"AVITA LIBER 13.3"" i7-8550U 8GB 512GB SSD Blossom Pink","AVITA LIBER 13.3""<br/><table><tr><th>Weight</th><td>1.35</td></tr><tr><th>Length</th><td>31.5</td><th>Width</th><td>21.2</td></tr><tr><th>Height</th><td>15</td><th>Primary Battery</th><td>36 WHr, 2-Cell Battery</td></tr><tr><th>Display</th><td>13.3"" FHD IPS Display (1920x1080)</td><th>Wireless</th><td>IEEE 802.11 b/g/n/ac, Bluetooth 4.0</td></tr><tr><th>Memory</th><td>4GB/8GB DDR3</td><th>Keyboard</th><td>Island-type Keyboard (with Backlit - optional)</td></tr><tr><th>Video Card</th><td>Intel HD Graphics</td><th>Hard Drive</th><td>Wireless driver for 802.11ac + Bluetooth 4.0</td></tr><tr><th>Optical Drive</th><td>128GB SSD / 256GB SSD / 512GB SSD</td><th>Power Cord</th><td>No Optical Drive</td></tr><tr><th>Documentation</th><td>Included</td><th>Hard Drive Software</th><td>Quick Start Guide</td></tr><tr><th>Color Choice</th><td>SSD</td><th>Packaging</th><td>Black / Silver/ Space Grey / Other Colours</td></tr><tr><th>Processor Label</th><td>Shipping Material</td><th>Power Supply</th><td>Intel Processor</td></tr><tr><th>Carrying Cases</th><td>Laptop Bag</td><th>Warranty</th><td>18 + 6 Months</td></tr></table>","AVITA LIBER 13.3""",1.3500,1,"Taxable Goods","Catalog, Search",83990.0000,52990.0000,,,"AVITA LIBER 13.3"" i7-8550U 8GB 512GB SSD NS13A2IN100P",,,,,,,,,,,,"5/13/19, 7:32 PM","5/13/19, 9:01 PM",,,"Block after Info Column",,,,,,,,,,,"Use config",,"featured=""Yes""",10.0000,0.0000,1,0,0,1,1.0000,0,0.0000,1,1,,1,0,1,1,0.0000,1,0,0,0,,,,,,,,,,,,,,,,
NS13A2IN101P,,Default,simple,"Default/Bestselling Products,Default/Lifestyle Laptops,Default/Top 10 Offers,Default/Latest Arrival,Default/AVITA",base,"AVITA LIBER 13.3"" i7-8550U 8GB 512GB SSD Urban Ruby","AVITA LIBER 13.3""<br/><table><tr><th>Weight</th><td>1.35</td></tr><tr><th>Length</th><td>31.5</td><th>Width</th><td>21.2</td></tr><tr><th>Height</th><td>15</td><th>Primary Battery</th><td>36 WHr, 2-Cell Battery</td></tr><tr><th>Display</th><td>13.3"" FHD IPS Display (1920x1080)</td><th>Wireless</th><td>IEEE 802.11 b/g/n/ac, Bluetooth 4.0</td></tr><tr><th>Memory</th><td>4GB/8GB DDR3</td><th>Keyboard</th><td>Island-type Keyboard (with Backlit - optional)</td></tr><tr><th>Video Card</th><td>Intel HD Graphics</td><th>Hard Drive</th><td>Wireless driver for 802.11ac + Bluetooth 4.0</td></tr><tr><th>Optical Drive</th><td>128GB SSD / 256GB SSD / 512GB SSD</td><th>Power Cord</th><td>No Optical Drive</td></tr><tr><th>Documentation</th><td>Included</td><th>Hard Drive Software</th><td>Quick Start Guide</td></tr><tr><th>Color Choice</th><td>SSD</td><th>Packaging</th><td>Black / Silver/ Space Grey / Other Colours</td></tr><tr><th>Processor Label</th><td>Shipping Material</td><th>Power Supply</th><td>Intel Processor</td></tr><tr><th>Carrying Cases</th><td>Laptop Bag</td><th>Warranty</th><td>18 + 6 Months</td></tr></table>","AVITA LIBER 13.3""",1.3500,1,"Taxable Goods","Catalog, Search",83990.0000,52990.0000,,,"AVITA LIBER 13.3"" i7-8550U 8GB 512GB SSD NS13A2IN101P",,,,,,,,,,,,"5/13/19, 7:32 PM","5/13/19, 9:01 PM",,,"Block after Info Column",,,,,,,,,,,"Use config",,"featured=""Yes""",10.0000,0.0000,1,0,0,1,1.0000,0,0.0000,1,1,,1,0,1,1,0.0000,1,0,0,0,,,,,,,,,,,,,,,,
NS13A2IN102P,,Default,simple,"Default/Bestselling Products,Default/Lifestyle Laptops,Default/Top 10 Offers,Default/Latest Arrival,Default/AVITA",base,"AVITA LIBER 13.3"" i7-8550U 8GB 512GB SSD Sunrise Orange","AVITA LIBER 13.3""<br/><table><tr><th>Weight</th><td>1.35</td></tr><tr><th>Length</th><td>31.5</td><th>Width</th><td>21.2</td></tr><tr><th>Height</th><td>15</td><th>Primary Battery</th><td>36 WHr, 2-Cell Battery</td></tr><tr><th>Display</th><td>13.3"" FHD IPS Display (1920x1080)</td><th>Wireless</th><td>IEEE 802.11 b/g/n/ac, Bluetooth 4.0</td></tr><tr><th>Memory</th><td>4GB/8GB DDR3</td><th>Keyboard</th><td>Island-type Keyboard (with Backlit - optional)</td></tr><tr><th>Video Card</th><td>Intel HD Graphics</td><th>Hard Drive</th><td>Wireless driver for 802.11ac + Bluetooth 4.0</td></tr><tr><th>Optical Drive</th><td>128GB SSD / 256GB SSD / 512GB SSD</td><th>Power Cord</th><td>No Optical Drive</td></tr><tr><th>Documentation</th><td>Included</td><th>Hard Drive Software</th><td>Quick Start Guide</td></tr><tr><th>Color Choice</th><td>SSD</td><th>Packaging</th><td>Black / Silver/ Space Grey / Other Colours</td></tr><tr><th>Processor Label</th><td>Shipping Material</td><th>Power Supply</th><td>Intel Processor</td></tr><tr><th>Carrying Cases</th><td>Laptop Bag</td><th>Warranty</th><td>18 + 6 Months</td></tr></table>","AVITA LIBER 13.3""",1.3500,1,"Taxable Goods","Catalog, Search",83990.0000,52990.0000,,,"AVITA LIBER 13.3"" i7-8550U 8GB 512GB SSD NS13A2IN102P",,,,,,,,,,,,"5/13/19, 7:32 PM","5/13/19, 9:01 PM",,,"Block after Info Column",,,,,,,,,,,"Use config",,"featured=""Yes""",10.0000,0.0000,1,0,0,1,1.0000,0,0.0000,1,1,,1,0,1,1,0.0000,1,0,0,0,,,,,,,,,,,,,,,,
NS13A2IN103P,,Default,simple,"Default/Bestselling Products,Default/Lifestyle Laptops,Default/Top 10 Offers,Default/Latest Arrival,Default/AVITA",base,"AVITA LIBER 13.3"" i7-8550U 8GB 512GB SSD Fragrant Lilac","AVITA LIBER 13.3""<br/><table><tr><th>Weight</th><td>1.35</td></tr><tr><th>Length</th><td>31.5</td><th>Width</th><td>21.2</td></tr><tr><th>Height</th><td>15</td><th>Primary Battery</th><td>36 WHr, 2-Cell Battery</td></tr><tr><th>Display</th><td>13.3"" FHD IPS Display (1920x1080)</td><th>Wireless</th><td>IEEE 802.11 b/g/n/ac, Bluetooth 4.0</td></tr><tr><th>Memory</th><td>4GB/8GB DDR3</td><th>Keyboard</th><td>Island-type Keyboard (with Backlit - optional)</td></tr><tr><th>Video Card</th><td>Intel HD Graphics</td><th>Hard Drive</th><td>Wireless driver for 802.11ac + Bluetooth 4.0</td></tr><tr><th>Optical Drive</th><td>128GB SSD / 256GB SSD / 512GB SSD</td><th>Power Cord</th><td>No Optical Drive</td></tr><tr><th>Documentation</th><td>Included</td><th>Hard Drive Software</th><td>Quick Start Guide</td></tr><tr><th>Color Choice</th><td>SSD</td><th>Packaging</th><td>Black / Silver/ Space Grey / Other Colours</td></tr><tr><th>Processor Label</th><td>Shipping Material</td><th>Power Supply</th><td>Intel Processor</td></tr><tr><th>Carrying Cases</th><td>Laptop Bag</td><th>Warranty</th><td>18 + 6 Months</td></tr></table>","AVITA LIBER 13.3""",1.3500,1,"Taxable Goods","Catalog, Search",83990.0000,52990.0000,,,"AVITA LIBER 13.3"" i7-8550U 8GB 512GB SSD NS13A2IN103P",,,,,,,,,,,,"5/13/19, 7:32 PM","5/13/19, 9:01 PM",,,"Block after Info Column",,,,,,,,,,,"Use config",,"featured=""Yes""",10.0000,0.0000,1,0,0,1,1.0000,0,0.0000,1,1,,1,0,1,1,0.0000,1,0,0,0,,,,,,,,,,,,,,,,
